cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
0.0,86.721,69.2059,38.889,72.0,54.1369,62.0561,30.7198,0.0,True,False,False,False
11.250499999999992,100.0,81.5669,10.2627,86.0,14.8923,34.7383,32.1221,1.0,True,False,False,False
0.0,47.41,72.19900000000001,29.1358,78.0,16.1533,73.4886,24.2283,0.0,True,True,False,True
25.292,91.91,96.0248,74.1547,34.0,42.5505,57.3825,85.0424,0.0,False,True,True,False
32.323,93.41080000000002,63.93449999999999,95.5315,67.0,41.6149,76.2982,21.131,1.0,True,False,True,True
0.0,100.0,77.106,8.3376,0.0,46.7544,32.0356,74.2822,1.0,False,False,False,True
0.2364999999999995,78.8799,96.0025,67.7814,54.0,68.6191,99.8081,90.0965,1.0,True,True,False,False
19.235499999999988,68.71940000000001,79.4739,79.6094,77.0,63.3347,88.4097,60.0631,1.0,True,True,True,True
19.823,99.03000000000002,68.963,45.8462,73.0,27.6832,67.4607,32.1117,0.0,True,True,False,False
12.860100000000005,100.0,79.0,81.2759,73.0,37.918,12.3194,22.4142,0.0,True,False,False,True
17.791900000000002,57.14860000000001,80.1669,25.1995,20.0,6.6405,84.553,22.1461,1.0,True,False,True,True
0.0,85.955,82.4005,19.2177,34.0,10.1417,64.2272,70.561,0.0,True,True,False,False
17.0108,62.103,60.321,59.1975,29.0,6.525,69.8606,20.3707,1.0,True,True,True,True
26.0238,75.4979,60.3324,96.9285,15.0,48.1966,37.739,46.6149,1.0,True,False,True,True
1.0358,100.0,81.267,90.5057,61.0,11.3737,38.9719,86.4865,0.0,True,True,True,True
25.814,62.236,60.53399999999999,31.4198,57.0,17.0786,65.3572,7.8495,1.0,True,False,True,False
